id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
125,MENTHOL AND ZINC OXIDE,"TAI GUK PHARM. CO., LTD.",2019-11-09,2023-09-18,CR37 6088 1630 5232 7120 1,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
126,Urea,"Ascend Laboratories, LLC",2019-12-30,2024-05-29,FR81 7948 9007 25L0 NDJF QKW5 B36,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
127,"Baptisia Tinctoria, Echinacea (Angustifolia), Arsenicum Album, Chininum Sulphuricum, Crotalus Horridus, Lachesis Mutus, Loxosceles Reclusa, Secale Cornutum, Tarentula Cubensis","BioActive Nutritional, Inc.",2020-01-25,2024-05-28,VG13 OXRL 0914 0559 1681 3199,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
128,"Alumina, Bryonia Alba",Paramesh Banerji Life Sciences LLC,2019-10-04,2022-12-14,GR66 3465 106O OYPP 0PM7 YU0E GFP,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
129,Octinoxate and Titanium Dioxide,Ventura Corporation LTD,2020-05-17,2024-07-09,BA38 8394 3235 5776 3015,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
130,Miconazole Nitrate,Target Corporation,2019-11-20,2022-10-12,SI79 8821 6890 5407 915,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
131,Nicotine Polacrilex,Rugby Laboratories,2019-12-27,2024-04-05,FR71 4907 6979 53ZH D8HA JQ9M H27,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
132,Glycerin,"NATURE REPUBLIC CO., LTD.",2020-04-01,2024-03-18,DK87 6129 0462 0020 86,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
133,"Acetaminophen, Phenylephrine HCl",DZA Brands LLC,2020-02-12,2023-08-02,RS21 3981 8550 9482 1406 53,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
134,CETIRIZINE HYDROCHLORIDE,A P J Laboratories Limited,2020-02-08,2024-06-21,FR94 8168 1092 83GT XFZR 7IR4 K53,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
135,"Piperonyl butoxide, Pyrethrum extract",McKesson,2020-01-06,2024-05-24,FR03 4133 8673 71QT UC8Y C5JJ X39,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
136,Carvedilol,Aurolife Pharma LLC,2020-03-19,2023-07-11,BH78 MMDR 9MNQ IPHS UJZ5 R7,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
137,warfarin sodium,Bristol-Myers Squibb Pharma Company,2020-05-18,2023-02-01,FI74 7941 9494 3572 79,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
138,"Piperonyl Butoxide, Pyrethrum Extract",Cardinal Health,2019-09-23,2022-09-27,FR52 2416 1052 93TP TG0G VFA0 M26,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
139,Helium Oxygen Mix,"NexAir, LLC",2020-01-26,2023-05-21,BA25 6725 4772 4840 9814,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
140,ETHYL ALCOHOL,DZA BRANDS,2020-04-18,2022-09-29,CH14 7437 5OOL WFL3 HZHB Q,cursus id turpis integer aliquet massa id lobortis convallis tortor risus
141,Naphazoline Hydrochloride,Insight Pharmaceuticals LLC,2020-02-27,2024-06-05,MR07 6902 2605 5193 6032 0842 367,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
142,zolpidem tartrate,Cardinal Health,2020-01-28,2023-02-13,AD34 2788 4380 F00C GMES WLY1,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
143,Nabumetone,"Altura Pharmaceuticals, Inc.",2020-03-17,2024-04-30,GR39 1445 616Y 7APB WSBO 939P OP6,sem praesent id massa id nisl venenatis lacinia aenean sit amet
144,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate, Pseudoephedrine HCl",Walgreen Company,2020-03-10,2022-08-23,LI44 4271 1Z8T CDRS DXNK 7,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
145,Hydrocortisone,Rite Aid Corporation,2019-12-11,2023-01-16,ES10 4874 2311 0956 6602 2223,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
146,Alendronate Sodium,Sun Pharma Global Inc.,2019-12-20,2024-05-09,IE07 HDYB 3555 5107 7424 58,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
147,IPECAC,Hyland's,2020-05-31,2024-06-25,GL80 6701 5107 9042 68,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
148,Metformin Hydrochloride,LUPIN PHARMACEUTICALS INC,2019-10-26,2023-10-27,CY57 2275 9526 OPSM REUF MJTK XFHJ,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
149,MENTHOL,Ricola USA Inc.,2019-09-03,2023-06-29,FR58 8494 8616 90GV KEJC ONXE F38,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
150,Ferric Subsulfate,"CooperSurgical, Inc.",2019-09-11,2023-07-01,FI38 8271 6084 4042 42,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
151,Calcium Acetate,Atlantic Biologicals Corps,2019-09-04,2023-01-17,MR03 5690 7718 3473 6875 5094 101,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
152,Metoclopramide,"Preferred Pharmaceuticals, Inc",2019-12-07,2023-12-15,IL30 0860 8734 5225 8754 432,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla
153,desvenlafaxine succinate,Lake Erie Medical DBA Quality Care Products LLC,2020-06-01,2023-03-22,KZ71 710T CKOR DXAY IT8H,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
154,MENTHOL,Ricola Ag,2019-11-15,2023-12-11,BG20 SLIP 2680 501F MVN0 RE,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
155,Nicotine Polacrilex,American Sales Company,2019-10-01,2023-05-30,SM53 M397 0480 6510 4P2M OFYA 9PP,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
156,Hydroquinone and Octinoxate,Valeant Pharmaceuticals North America LLC,2020-01-24,2023-03-17,IE37 SINX 5366 1345 8529 31,quam pede lobortis ligula sit amet eleifend pede libero quis
157,miconazole nitrate,Rite Aid Corporation,2020-08-08,2024-07-10,FR53 7642 6999 01NG IMH1 1UKS O73,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
158,ISOSORBIDE MONONITRATE,"NCS HealthCare of KY, Inc dba Vangard Labs",2020-05-29,2024-07-17,TR33 4725 356N QRN4 ZK0M G1PT QW,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
159,raxibacumab,"Human Genome Sciences, Inc.",2020-02-16,2023-12-10,LV98 VDXE QQPE EYXE H6KO 2,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
160,Rosmarinus Lavandula,Uriel Pharmacy Inc.,2019-12-19,2023-09-06,GE74 ZI50 7047 0227 1256 14,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
161,Niacin and Simvastatin,AbbVie Inc.,2020-02-16,2023-12-25,IE23 FSCF 1058 0355 1292 96,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
162,TRICLOSAN,Columbia Jobbing,2019-11-09,2023-02-10,EE68 8465 4935 1801 9788,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
163,"Centella Asiatica, Silicon Dioxide, and Thuja Occidentalis Root",Forces of Nature,2019-10-06,2023-08-12,MK81 408Q IJRR IPAM N70,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
164,Aspirin,DZA Brands LLC,2020-01-06,2023-05-29,DO84 REGG 9563 0402 3892 7926 1633,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
165,SODIUM FLUORIDE,EMAG AG,2020-06-15,2023-01-09,GI66 NMUS DCML 5VV8 RYPF N41,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
166,"Octinoxate, Titanium Dioxide","Merle Norman Cosmetics, Inc",2020-04-09,2023-04-10,AZ80 RSIZ 01GC PTVW BTCJ 0KJV VJDL,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
167,Acetaminophen,NASH-FINCH COMPANY,2020-01-18,2024-06-08,MD52 LKNF PPT1 XRX5 4THC AJKB,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
168,Treatment Set TS340987,"Antigen Laboratories, Inc.",2020-07-23,2024-02-09,HU49 7595 0449 3024 2031 8003 2220,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
169,Pelargonium sidoides,"Nature's Way Products, Inc.",2020-04-14,2023-01-18,CH55 1894 2LTR FTX7 ZE5D T,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
170,tobramycin,Cornerstone Therapeutics Inc.,2020-05-23,2024-04-04,AT24 0339 6979 3768 6568,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
171,Metronidazole,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",2019-09-21,2024-07-12,LT32 0000 5790 6429 3645,eleifend luctus ultricies eu nibh quisque id justo sit amet
172,Methocarbamol,Contract Pharmacy Services-PA,2020-03-10,2023-01-01,FI98 2237 8036 1013 72,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
173,Prednisolone Sodium Phosphate,"Paddock Laboratories, Inc.",2020-08-01,2023-05-23,GR98 5352 765P PRK9 FVZQ XK7U CWL,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
174,PSYLLIUM HUSK,"Konsyl Pharmaceuticals, Inc.",2020-01-16,2022-10-15,RO74 ZXMD X7XT QRHP JTNB 3TVP,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
175,ESLICARBAZEPINE ACETATE,Sunovion Pharmaceuticals Inc.,2020-03-30,2023-12-23,KZ51 5105 SYDG CV0U FXDR,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
176,Isopropyl alcohol and iodine,CareFusion 213 LLC,2020-06-28,2023-01-09,BG30 TRLV 9921 99MN C9TW M0,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
177,Clonidine Hydrochloride,Actavis Elizabeth LLC,2019-11-28,2023-01-11,RO26 RBEX FCYX JV95 PEYL PCAH,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
178,Maximum Strength Pepto Bismol,Sunmark,2020-01-13,2024-03-19,BR07 0811 8224 8249 6420 8525 042O 5,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
179,clonidine hydrochloride and chlorthalidone,Mylan Pharmaceuticals Inc.,2020-06-04,2024-03-08,MK30 609F 7TP8 VS8J 421,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
180,Pseudoephedrine hydrochloride,"Silarx Pharmaceuticals, Inc",2020-06-17,2023-06-19,BR32 2570 3674 3519 2620 3261 667H N,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
181,Triclosan,"OnPoint, Inc",2020-02-14,2023-04-04,FR83 2129 2255 0720 RNWZ 7QHZ E95,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
182,Diphenhydramine Hydrochloride,Advance Pharmaceutical Inc.,2019-12-15,2024-07-02,ME10 1829 4487 4024 2914 59,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
183,BENZALKONIUM CHLORIDE,"Shanghai Yinjing Medical Supplies Co., Ltd.",2019-11-27,2023-09-26,FI04 1350 2795 7814 73,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
184,ropinirole hydrochloride,"Solco healthcare U.S., LLC",2020-05-18,2023-02-19,DO98 VJJH 2851 9397 6786 5956 2741,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
185,Midazolam,West-ward Pharmaceutical Corp.,2020-01-11,2024-03-20,KZ50 881T Q35R LPEF UNLW,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
186,LIDOCAINE HYDROCHLORIDE,Tender Corporation,2020-05-19,2024-01-23,TR36 0480 8TQ6 J06Z 435I 4HPM 2G,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
187,Azithromycin,Teva Pharmaceuticals USA Inc,2020-02-22,2023-03-07,GT97 ZZ0W WKJN ZGPC RYXP C0P9 F1WQ,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
188,"TITANIUM DIOXIDE, ZINC OXIDE","Paula's Choice, Inc",2020-06-21,2023-05-25,MC54 4865 8457 23LO G55V LTFX E91,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
189,Acetaminophen,Safeway,2020-06-13,2024-08-14,NO16 6190 0180 182,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
190,Venlafaxine Hydrochloride,Cadila Healthcare Limited,2020-06-14,2022-09-26,ES94 8428 4102 0964 9885 7005,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
191,Metolazone,"Eon Labs, Inc.",2020-03-26,2023-02-05,TR04 7647 3WR8 YCAJ 0VJF ZZL8 DY,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
192,Caffeine,HyVee Inc,2019-11-10,2023-06-15,DO66 BN7S 4280 4255 3339 9868 1442,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
193,phenylephrine and ketorolac,Omeros Corporation,2019-11-09,2024-05-27,HR77 1367 0859 2890 1809 5,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
194,valsartan and hydrochlorothiazide,Cardinal Health,2020-01-28,2024-06-14,FR71 8350 6200 94MZ J6HB 6UEB D99,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
195,Allergenic Extracts Alum Precipitated,"ALK-Abello, Inc.",2019-10-08,2023-07-29,NO33 5796 6549 158,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
196,Gabapentin,Cardinal Health,2019-10-04,2022-10-27,FR88 4938 4279 05PP 5IQT SU51 R00,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
197,Warfarin Sodium,"PD-Rx Pharmaceuticals, Inc.",2019-12-01,2023-12-26,GT66 95IV QIO4 IH7S U1BJ 4BLP ZHMT,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
198,"Chlorpheniramine maleate, Phenylephrine HCl",Cardinal Health,2020-05-11,2022-10-24,FR24 9039 8102 25HB CBMV W1II B55,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
199,Levothyroxine Sodium,AbbVie Inc.,2020-07-15,2023-12-06,IS61 5300 1946 3128 8107 4890 10,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
200,BENZOYL PEROXIDE,"CINTEX SERVICES, LLC",2019-09-01,2022-11-28,EE19 8681 9767 5523 7794,ut suscipit a feugiat et eros vestibulum ac est lacinia
201,"avobenzone, homosalate, octisalate, oxybenzone, octocrylene","Sun & Skin Care Research, LLC",2019-09-14,2022-12-24,MT06 WQTC 4587 12I5 NFYL E3YZ NBZN ET0,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
202,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE","Ventura International, Limited",2020-05-03,2024-07-23,DK36 9911 4762 2767 96,justo eu massa donec dapibus duis at velit eu est congue elementum in
203,benzocaine and benzethonium chloride,Combe Incorporated,2019-09-24,2023-12-18,FR69 3965 5524 40AY Z4MP SZXI S42,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
204,"Dextroamphetamine saccharate, Amphetamine aspartate, Dextroamphetamine sulfate, and Amphetamine sulfate","Caraco Pharmaceutical Laboratories, Ltd.",2020-01-29,2023-09-26,FR75 5168 6688 55RC PNGK OH1D S85,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
205,"famotidine, calcium carbonate and magnesium hydroxide",BJWC,2019-11-04,2024-01-04,GI07 NPSV X2BJ 1WFR G12A WKR,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
206,TOLNAFTATE,The Tetra Corporation,2019-12-30,2024-05-10,CR95 3000 0869 3324 7845 8,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
207,Cefdinir,RedPharm Drug Inc.,2020-03-23,2023-01-23,VG91 YGYJ 3452 2712 1825 4181,elit ac nulla sed vel enim sit amet nunc viverra dapibus
208,Asparagus,"ALK-Abello, Inc.",2020-04-30,2022-10-15,RO31 EEYG NSSB 4S3V UUKY VNY5,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
209,PLERIXAFOR,sanofi-aventis U.S. LLC,2020-02-15,2022-11-27,SM18 P798 9557 773G AVMR P0Z7 KHR,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
210,Proparacaine Hydrochloride,A-S Medication Solutions LLC,2019-12-26,2023-03-12,MT60 XPKT 0506 66WI R9I4 XZWI WWAJ NYM,ut erat curabitur gravida nisi at nibh in hac habitasse
211,Burr Oak,"Nelco Laboratories, Inc.",2020-03-09,2022-11-14,DO65 EJ13 4828 8168 2797 5739 3800,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
212,POVIDONE-IODINE,LernaPharm Loris Inc.,2020-06-29,2023-08-16,GI45 ONIN IVYG 7G8R PBQ1 IA3,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
213,Dimethicone,"Eco-Logics, Inc.",2020-05-26,2024-07-30,PL28 8039 4475 6097 1315 7593 9301,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
214,Clotrimazole,Valu Merchandisers Company,2020-04-15,2023-10-26,FR49 1399 4978 39WR MNEQ O3WR D61,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
215,CALENDULA OFFICINALIS FLOWERING TOP,Laboratoires Boiron,2019-10-05,2023-02-28,CZ12 6219 1309 1073 3621 0454,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
216,Hydrocortisone,Medicine Shoppe International Inc,2020-01-18,2023-12-19,HU51 0234 9678 7557 7531 9167 2901,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
217,Homosalate Oxybenzone Octocrylene Octisalate Avobenzone,"Scarguard Labs, LLC",2020-04-08,2024-03-31,KW89 SVMI JCPS QEW9 K1L9 XRIE ZA6U HC,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
218,"Menthol, zinc oxide",Topco Associates,2020-01-08,2024-05-22,SA49 38VJ UWRL 7YYV RYZM 3IYV,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
219,Olanzapine,Aurobindo Pharma Limited,2020-03-31,2022-08-31,KZ91 244Y RIG7 FMFR NMG2,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
220,Oxygen,Camelot Healthcare Management Inc. dba Suncare Respiratory Services,2019-12-01,2022-10-31,FI03 8386 0148 3995 56,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
221,montelukast sodium,Merck Sharp & Dohme Corp.,2020-06-14,2024-05-05,CZ36 5422 6714 2432 8908 1473,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
222,OXYGEN,Air Liquide America Specialty Gases LLC,2019-12-21,2024-06-09,CH89 2496 5XOL X8PB S13W R,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
